id,REF_AREA,TIME_PERIOD,HEAT_VALUE,TERRITORIAL_LEVEL
ES072C2004,ES072C,2004,31,CITY
ES072C1987,ES072C,1987,42,CITY
ES072C1986,ES072C,1986,23,CITY
ES072C1985,ES072C,1985,29,CITY
ES072C1984,ES072C,1984,15,CITY
ES072C1983,ES072C,1983,15,CITY
ES072C1982,ES072C,1982,22,CITY
ES072C1981,ES072C,1981,39,CITY
ES072C2003,ES072C,2003,41,CITY
ES072C2002,ES072C,2002,26,CITY
ES072C2001,ES072C,2001,28,CITY
ES072C2000,ES072C,2000,27,CITY
ES072C1999,ES072C,1999,33,CITY
ES072C1998,ES072C,1998,40,CITY
ES072C1997,ES072C,1997,21,CITY
ES072C1996,ES072C,1996,23,CITY
ES072C1995,ES072C,1995,26,CITY
ES072C1994,ES072C,1994,26,CITY
ES072C1993,ES072C,1993,18,CITY
ES072C1992,ES072C,1992,31,CITY
ES072C1991,ES072C,1991,39,CITY
ES072C1990,ES072C,1990,32,CITY
ES072C1989,ES072C,1989,36,CITY
ES072C1988,ES072C,1988,20,CITY
ES072C2021,ES072C,2021,39,CITY
ES072C2020,ES072C,2020,54,CITY
ES072C2019,ES072C,2019,45,CITY
ES072C2018,ES072C,2018,49,CITY
ES072C2017,ES072C,2017,53,CITY
ES072C2016,ES072C,2016,53,CITY
ES072C2015,ES072C,2015,40,CITY
ES072C2014,ES072C,2014,25,CITY
ES072C2013,ES072C,2013,45,CITY
ES072C2012,ES072C,2012,33,CITY
ES072C2011,ES072C,2011,30,CITY
ES072C2010,ES072C,2010,47,CITY
ES072C2009,ES072C,2009,45,CITY
ES072C2008,ES072C,2008,26,CITY
ES072C2007,ES072C,2007,16,CITY
ES072C2006,ES072C,2006,51,CITY
MEX32F2004,MEX32F,2004,2,FUA
MEX32F1987,MEX32F,1987,1,FUA
MEX32F1986,MEX32F,1986,2,FUA
MEX32F1985,MEX32F,1985,1,FUA
MEX32F1984,MEX32F,1984,5,FUA
MEX32F1983,MEX32F,1983,7,FUA
MEX32F1982,MEX32F,1982,3,FUA
MEX32F1981,MEX32F,1981,2,FUA
MEX32F2003,MEX32F,2003,7,FUA
MEX32F2002,MEX32F,2002,1,FUA
MEX32F2001,MEX32F,2001,3,FUA
MEX32F2000,MEX32F,2000,1,FUA
MEX32F1999,MEX32F,1999,5,FUA
MEX32F1998,MEX32F,1998,27,FUA
MEX32F1997,MEX32F,1997,1,FUA
MEX32F1996,MEX32F,1996,2,FUA
MEX32F1995,MEX32F,1995,5,FUA
MEX32F1994,MEX32F,1994,2,FUA
MEX32F1993,MEX32F,1993,1,FUA
MEX32F1992,MEX32F,1992,0,FUA
MEX32F1991,MEX32F,1991,5,FUA
MEX32F1990,MEX32F,1990,2,FUA
MEX32F1989,MEX32F,1989,2,FUA
MEX32F1988,MEX32F,1988,2,FUA
MEX32F2021,MEX32F,2021,6,FUA
MEX32F2020,MEX32F,2020,9,FUA
MEX32F2019,MEX32F,2019,15,FUA
MEX32F2018,MEX32F,2018,2,FUA
MEX32F2017,MEX32F,2017,3,FUA
MEX32F2016,MEX32F,2016,4,FUA
MEX32F2015,MEX32F,2015,1,FUA
MEX32F2014,MEX32F,2014,4,FUA
MEX32F2013,MEX32F,2013,6,FUA
MEX32F2012,MEX32F,2012,1,FUA
MEX32F2011,MEX32F,2011,4,FUA
MEX32F2010,MEX32F,2010,2,FUA
MEX32F2009,MEX32F,2009,2,FUA
MEX32F2008,MEX32F,2008,4,FUA
MEX32F2007,MEX32F,2007,1,FUA
MEX32F2006,MEX32F,2006,1,FUA
MEX41F2004,MEX41F,2004,250,FUA
MEX41F1987,MEX41F,1987,246,FUA
MEX41F1986,MEX41F,1986,283,FUA
MEX41F1985,MEX41F,1985,262,FUA
MEX41F1984,MEX41F,1984,237,FUA
MEX41F1983,MEX41F,1983,242,FUA
MEX41F1982,MEX41F,1982,253,FUA
MEX41F1981,MEX41F,1981,273,FUA
MEX41F2003,MEX41F,2003,282,FUA
MEX41F2002,MEX41F,2002,257,FUA
MEX41F2001,MEX41F,2001,248,FUA
MEX41F2000,MEX41F,2000,257,FUA
MEX41F1999,MEX41F,1999,263,FUA
MEX41F1998,MEX41F,1998,253,FUA
MEX41F1997,MEX41F,1997,250,FUA
MEX41F1996,MEX41F,1996,276,FUA
MEX41F1995,MEX41F,1995,276,FUA
MEX41F1994,MEX41F,1994,253,FUA
MEX41F1993,MEX41F,1993,255,FUA
MEX41F1992,MEX41F,1992,235,FUA
MEX41F1991,MEX41F,1991,251,FUA
MEX41F1990,MEX41F,1990,267,FUA
MEX41F1989,MEX41F,1989,265,FUA
MEX41F1988,MEX41F,1988,252,FUA
