id,REF_AREA,TIME_PERIOD,POLLUTION_VALUE,TERRITORIAL_LEVEL
AUS10C1990,AUS10C,1990,6.8,CITY
AUS10C1995,AUS10C,1995,6.6,CITY
AUS10C2000,AUS10C,2000,7.1,CITY
AUS10C2001,AUS10C,2001,7.4,CITY
AUS10C2002,AUS10C,2002,7.8,CITY
AUS10C2003,AUS10C,2003,7.2,CITY
AUS10C2004,AUS10C,2004,6.7,CITY
AUS10C2005,AUS10C,2005,6.6,CITY
AUS10C2006,AUS10C,2006,7.0,CITY
AUS10C2007,AUS10C,2007,6.7,CITY
AUS10C2008,AUS10C,2008,6.7,CITY
AUS10C2009,AUS10C,2009,7.1,CITY
AUS10C2010,AUS10C,2010,7.0,CITY
AUS10C2011,AUS10C,2011,7.0,CITY
AUS10C2012,AUS10C,2012,7.2,CITY
AUS10C2013,AUS10C,2013,7.3,CITY
AUS10C2014,AUS10C,2014,7.0,CITY
AUS10C2015,AUS10C,2015,6.9,CITY
AUS10C2016,AUS10C,2016,7.0,CITY
AUS10C2017,AUS10C,2017,7.1,CITY
AUS10C2018,AUS10C,2018,7.4,CITY
AUS10C2019,AUS10C,2019,10.1,CITY
AUS10C2020,AUS10C,2020,9.6,CITY
BG007F1990,BG007F,1990,32.8,FUA
BG007F1995,BG007F,1995,31.3,FUA
BG007F2000,BG007F,2000,29.2,FUA
BG007F2001,BG007F,2001,28.7,FUA
BG007F2002,BG007F,2002,32.0,FUA
BG007F2003,BG007F,2003,34.4,FUA
BG007F2004,BG007F,2004,30.3,FUA
BG007F2005,BG007F,2005,30.6,FUA
BG007F2006,BG007F,2006,32.5,FUA
BG007F2007,BG007F,2007,25.5,FUA
BG007F2008,BG007F,2008,26.6,FUA
BG007F2009,BG007F,2009,26.7,FUA
BG007F2010,BG007F,2010,28.5,FUA
BG007F2011,BG007F,2011,30.1,FUA
BG007F2012,BG007F,2012,27.7,FUA
BG007F2013,BG007F,2013,25.5,FUA
BG007F2014,BG007F,2014,25.2,FUA
BG007F2015,BG007F,2015,24.2,FUA
BG007F2016,BG007F,2016,23.1,FUA
BG007F2017,BG007F,2017,23.9,FUA
BG007F2018,BG007F,2018,23.5,FUA
BG007F2019,BG007F,2019,20.4,FUA
BG007F2020,BG007F,2020,20.0,FUA
IT080C1990,IT080C,1990,23.3,CITY
IT080C1995,IT080C,1995,22.2,CITY
IT080C2000,IT080C,2000,21.8,CITY
IT080C2001,IT080C,2001,19.8,CITY
IT080C2002,IT080C,2002,21.0,CITY
IT080C2003,IT080C,2003,22.5,CITY
IT080C2004,IT080C,2004,19.6,CITY
IT080C2005,IT080C,2005,20.4,CITY
