id,REF_AREA,TIME_PERIOD,RIVER_FLOOD_VALUE,TERRITORIAL_LEVEL
MEX28C2000,MEX28C,2000,0.0,CITY
MEX28C2015,MEX28C,2015,0.0,CITY
USA58C2000,USA58C,2000,0.0,CITY
USA58C2015,USA58C,2015,0.0,CITY
DE110C2000,DE110C,2000,30.0,CITY
DE110C2015,DE110C,2015,29.0,CITY
DE051C2000,DE051C,2000,7.1,CITY
DE051C2015,DE051C,2015,7.1,CITY
SK007C2000,SK007C,2000,0.0,CITY
SK007C2015,SK007C,2015,0.0,CITY
MEX45C2000,MEX45C,2000,0.0,CITY
MEX45C2015,MEX45C,2015,0.0,CITY
TR009C2000,TR009C,2000,0.3,CITY
TR009C2015,TR009C,2015,0.4,CITY
ES024F2000,ES024F,2000,0.0,FUA
ES024F2015,ES024F,2015,0.0,FUA
MEX38C2000,MEX38C,2000,0.3,CITY
MEX38C2015,MEX38C,2015,0.4,CITY
BE001F2000,BE001F,2000,8.2,FUA
BE001F2015,BE001F,2015,8.3,FUA
CZ004F2000,CZ004F,2000,14.1,FUA
CZ004F2015,CZ004F,2015,13.6,FUA
USA197F2000,USA197F,2000,2.4,FUA
USA197F2015,USA197F,2015,2.4,FUA
USA14F2000,USA14F,2000,0.3,FUA
USA14F2015,USA14F,2015,0.3,FUA
RO025F2000,RO025F,2000,19.0,FUA
RO025F2015,RO025F,2015,19.1,FUA
CL008C2000,CL008C,2000,88.6,CITY
CL008C2015,CL008C,2015,88.0,CITY
EL010C2000,EL010C,2000,3.0,CITY
EL010C2015,EL010C,2015,3.6,CITY
HU005C2000,HU005C,2000,0.0,CITY
HU005C2015,HU005C,2015,0.0,CITY
FR017C2000,FR017C,2000,0.0,CITY
FR017C2015,FR017C,2015,0.0,CITY
FR061C2000,FR061C,2000,0.0,CITY
FR061C2015,FR061C,2015,0.0,CITY
ES004C2000,ES004C,2000,16.0,CITY
ES004C2015,ES004C,2015,16.8,CITY
UK019F2000,UK019F,2000,4.2,FUA
UK019F2015,UK019F,2015,4.2,FUA
UK516C2000,UK516C,2000,0.2,CITY
UK516C2015,UK516C,2015,0.2,CITY
EL013C2000,EL013C,2000,0.0,CITY
EL013C2015,EL013C,2015,0.0,CITY
SE003F2000,SE003F,2000,0.7,FUA
SE003F2015,SE003F,2015,0.7,FUA
FR066C2000,FR066C,2000,0.0,CITY
FR066C2015,FR066C,2015,0.0,CITY
USA62F2000,USA62F,2000,17.4,FUA
USA62F2015,USA62F,2015,17.5,FUA
FR071F2000,FR071F,2000,0.0,FUA
FR071F2015,FR071F,2015,0.0,FUA
CZ007F2000,CZ007F,2000,0.0,FUA
CZ007F2015,CZ007F,2015,0.0,FUA
IT013C2000,IT013C,2000,4.2,CITY
IT013C2015,IT013C,2015,4.2,CITY
JPN01C2000,JPN01C,2000,3.8,CITY
JPN01C2015,JPN01C,2015,3.7,CITY
USA206C2000,USA206C,2000,20.5,CITY
USA206C2015,USA206C,2015,20.6,CITY
MEX88F2000,MEX88F,2000,0.0,FUA
MEX88F2015,MEX88F,2015,0.0,FUA
USA124C2000,USA124C,2000,5.3,CITY
USA124C2015,USA124C,2015,5.2,CITY
USA24C2000,USA24C,2000,1.2,CITY
USA24C2015,USA24C,2015,1.1,CITY
LV004C2000,LV004C,2000,21.9,CITY
LV004C2015,LV004C,2015,22.9,CITY
USA196C2000,USA196C,2000,4.7,CITY
USA196C2015,USA196C,2015,4.7,CITY
USA205F2000,USA205F,2000,0.0,FUA
USA205F2015,USA205F,2015,0.0,FUA
CY002C2000,CY002C,2000,0.0,CITY
CY002C2015,CY002C,2015,0.0,CITY
BE013C2000,BE013C,2000,0.0,CITY
BE013C2015,BE013C,2015,0.0,CITY
FR019C2000,FR019C,2000,0.1,CITY
FR019C2015,FR019C,2015,0.1,CITY
RO026C2000,RO026C,2000,0.3,CITY
RO026C2015,RO026C,2015,0.3,CITY
USA38F2000,USA38F,2000,6.5,FUA
USA38F2015,USA38F,2015,6.0,FUA
MEX57F2000,MEX57F,2000,0.0,FUA
