id,REF_AREA,TIME_PERIOD,URBAN_HEAT_VALUE,TERRITORIAL_LEVEL
COL36F2011,COL36F,2011,3.0,FUA
COL36F2012,COL36F,2012,2.9,FUA
COL36F2013,COL36F,2013,3.4,FUA
COL36F2014,COL36F,2014,2.9,FUA
COL36F2015,COL36F,2015,2.8,FUA
COL36F2016,COL36F,2016,2.8,FUA
COL36F2017,COL36F,2017,2.4,FUA
COL36F2018,COL36F,2018,2.8,FUA
COL36F2019,COL36F,2019,3.4,FUA
COL36F2020,COL36F,2020,3.0,FUA
COL36F2021,COL36F,2021,2.6,FUA
USA35F2011,USA35F,2011,2.0,FUA
USA35F2012,USA35F,2012,2.0,FUA
USA35F2013,USA35F,2013,2.5,FUA
USA35F2014,USA35F,2014,2.7,FUA
USA35F2015,USA35F,2015,2.8,FUA
USA35F2016,USA35F,2016,2.6,FUA
USA35F2017,USA35F,2017,2.0,FUA
USA35F2018,USA35F,2018,2.5,FUA
USA35F2019,USA35F,2019,2.6,FUA
USA35F2020,USA35F,2020,2.5,FUA
USA35F2021,USA35F,2021,2.4,FUA
MEX23F2011,MEX23F,2011,-0.5,FUA
MEX23F2012,MEX23F,2012,-0.0,FUA
MEX23F2013,MEX23F,2013,-0.5,FUA
MEX23F2014,MEX23F,2014,0.6,FUA
MEX23F2015,MEX23F,2015,0.1,FUA
MEX23F2016,MEX23F,2016,-0.3,FUA
MEX23F2017,MEX23F,2017,-0.1,FUA
MEX23F2018,MEX23F,2018,-1.3,FUA
MEX23F2019,MEX23F,2019,-0.9,FUA
MEX23F2020,MEX23F,2020,-0.6,FUA
MEX23F2021,MEX23F,2021,-0.7,FUA
UK031F2011,UK031F,2011,1.9,FUA
UK031F2012,UK031F,2012,1.8,FUA
UK031F2013,UK031F,2013,1.8,FUA
UK031F2014,UK031F,2014,1.6,FUA
UK031F2015,UK031F,2015,2.2,FUA
UK031F2016,UK031F,2016,1.6,FUA
UK031F2017,UK031F,2017,1.8,FUA
UK031F2018,UK031F,2018,1.8,FUA
UK031F2019,UK031F,2019,1.8,FUA
UK031F2020,UK031F,2020,1.9,FUA
UK031F2021,UK031F,2021,1.9,FUA
RO013F2011,RO013F,2011,-0.4,FUA
RO013F2012,RO013F,2012,-0.2,FUA
RO013F2013,RO013F,2013,0.3,FUA
RO013F2014,RO013F,2014,-0.1,FUA
RO013F2015,RO013F,2015,0.3,FUA
RO013F2016,RO013F,2016,0.1,FUA
RO013F2017,RO013F,2017,0.3,FUA
RO013F2018,RO013F,2018,-0.2,FUA
RO013F2019,RO013F,2019,-0.2,FUA
RO013F2020,RO013F,2020,-0.4,FUA
RO013F2021,RO013F,2021,-0.4,FUA
HU015F2011,HU015F,2011,1.0,FUA
HU015F2012,HU015F,2012,1.5,FUA
HU015F2013,HU015F,2013,1.6,FUA
HU015F2014,HU015F,2014,1.4,FUA
HU015F2015,HU015F,2015,1.3,FUA
HU015F2016,HU015F,2016,1.5,FUA
HU015F2017,HU015F,2017,1.6,FUA
HU015F2018,HU015F,2018,1.3,FUA
HU015F2019,HU015F,2019,1.5,FUA
HU015F2020,HU015F,2020,1.2,FUA
HU015F2021,HU015F,2021,1.1,FUA
DE058F2011,DE058F,2011,1.5,FUA
DE058F2012,DE058F,2012,1.7,FUA
DE058F2013,DE058F,2013,1.7,FUA
DE058F2014,DE058F,2014,1.8,FUA
DE058F2015,DE058F,2015,1.6,FUA
DE058F2016,DE058F,2016,1.8,FUA
DE058F2017,DE058F,2017,1.5,FUA
DE058F2018,DE058F,2018,1.7,FUA
DE058F2019,DE058F,2019,1.9,FUA
DE058F2020,DE058F,2020,1.8,FUA
DE058F2021,DE058F,2021,1.8,FUA
ES004F2011,ES004F,2011,0.1,FUA
ES004F2012,ES004F,2012,-0.7,FUA
ES004F2013,ES004F,2013,0.2,FUA
ES004F2014,ES004F,2014,0.5,FUA
ES004F2015,ES004F,2015,-0.5,FUA
ES004F2016,ES004F,2016,0.0,FUA
ES004F2017,ES004F,2017,-0.3,FUA
ES004F2018,ES004F,2018,0.3,FUA
ES004F2019,ES004F,2019,-0.3,FUA
ES004F2020,ES004F,2020,-0.1,FUA
ES004F2021,ES004F,2021,-0.4,FUA
COL17F2011,COL17F,2011,4.1,FUA
COL17F2012,COL17F,2012,4.0,FUA
COL17F2013,COL17F,2013,4.1,FUA
COL17F2014,COL17F,2014,3.9,FUA
COL17F2015,COL17F,2015,3.9,FUA
COL17F2016,COL17F,2016,4.1,FUA
COL17F2017,COL17F,2017,4.2,FUA
COL17F2018,COL17F,2018,4.2,FUA
COL17F2019,COL17F,2019,3.5,FUA
COL17F2020,COL17F,2020,3.1,FUA
COL17F2021,COL17F,2021,3.6,FUA
USA28F2011,USA28F,2011,2.1,FUA
USA28F2012,USA28F,2012,2.2,FUA
USA28F2013,USA28F,2013,1.7,FUA
USA28F2014,USA28F,2014,1.8,FUA
USA28F2015,USA28F,2015,1.9,FUA
USA28F2016,USA28F,2016,2.0,FUA
USA28F2017,USA28F,2017,2.1,FUA
USA28F2018,USA28F,2018,2.0,FUA
USA28F2019,USA28F,2019,2.2,FUA
USA28F2020,USA28F,2020,2.2,FUA
USA28F2021,USA28F,2021,2.1,FUA
USA83F2011,USA83F,2011,2.6,FUA
USA83F2012,USA83F,2012,2.7,FUA
USA83F2013,USA83F,2013,2.6,FUA
USA83F2014,USA83F,2014,2.5,FUA
USA83F2015,USA83F,2015,2.5,FUA
USA83F2016,USA83F,2016,2.3,FUA
