,track_id,track_uri,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7fnlGpqyZ8KPATE5HXHrke,spotify:track:7fnlGpqyZ8KPATE5HXHrke,0.56,0.877,6,-4.534,1,0.0117,0.0221,0.328,0.483,125.092,244164,4
1,7LWvckYxoIoPb1QW6OnrEb,spotify:track:7LWvckYxoIoPb1QW6OnrEb,0.618,0.737,4,-6.705,1,0.225,2.31e-06,0.436,0.794,130.056,156510,4
2,5NvqDMHAL38UTfNQFizEWm,spotify:track:5NvqDMHAL38UTfNQFizEWm,0.472,0.983,11,-5.469,1,0.00596,0.000679,0.139,0.427,151.995,240031,4
3,1pAYBMrUtPnCBexIsA7yag,spotify:track:1pAYBMrUtPnCBexIsA7yag,0.584,0.645,3,-6.959,0,0.0281,0.321,0.102,0.711,199.963,164400,4
4,0vF9TaEJHO0Zm1ejF7AGC0,spotify:track:0vF9TaEJHO0Zm1ejF7AGC0,0.498,0.72,0,-7.812,1,0.0958,2.54e-05,0.243,0.406,164.916,206100,4
5,3Idd0RLLacT6ZRcM4Aj0KP,spotify:track:3Idd0RLLacT6ZRcM4Aj0KP,0.564,0.523,4,-7.226,1,0.0055,0.357,0.0961,0.349,84.005,280288,4
6,6FUFVQrn1RvyydcLsL4xdJ,spotify:track:6FUFVQrn1RvyydcLsL4xdJ,0.529,0.91,9,-5.29,1,0.00419,8.8e-05,0.111,0.538,140.012,184631,4
7,1LGZYAqFUZli9lE8ZkAGvp,spotify:track:1LGZYAqFUZli9lE8ZkAGvp,0.353,0.948,0,-2.907,1,0.0439,0.0,0.11,0.087,160.107,244147,4
8,61qYmqAXyKU0wjgIwxOMUL,spotify:track:61qYmqAXyKU0wjgIwxOMUL,0.795,0.835,0,-3.869,1,0.141,0.00123,0.12,0.778,135.031,195681,4
9,2Czaw41IWZLz5JxwLueamL,spotify:track:2Czaw41IWZLz5JxwLueamL,0.246,0.693,1,-5.78,0,0.0178,0.00759,0.0695,0.117,84.989,484573,4
10,5OC8qeRYNbU03Qnthifu0n,spotify:track:5OC8qeRYNbU03Qnthifu0n,0.523,0.728,0,-7.402,1,0.000267,0.0,0.185,0.484,135.017,253107,4
11,4LQXK92qiThKntANgxd9Yz,spotify:track:4LQXK92qiThKntANgxd9Yz,0.401,0.945,2,-5.052,1,1.91e-05,0.0107,0.175,0.707,92.956,118743,4
12,5KEZKJjqy5ZTnjgXlUyrAl,spotify:track:5KEZKJjqy5ZTnjgXlUyrAl,0.559,0.949,7,-3.73,0,0.00274,1.58e-06,0.0964,0.607,140.111,190226,4
13,54f5xQWeTgoZ9T28xS3no1,spotify:track:54f5xQWeTgoZ9T28xS3no1,0.393,0.916,2,-3.038,1,0.0655,0.00019,0.432,0.758,149.938,206578,4
14,5SqHFepXDGG1IHvlkhQc8q,spotify:track:5SqHFepXDGG1IHvlkhQc8q,0.568,0.893,11,-6.576,0,0.000556,0.0113,0.213,0.28,89.022,188526,4
15,6bwh3lirkVVXAeGDSmAY6q,spotify:track:6bwh3lirkVVXAeGDSmAY6q,0.396,0.847,0,-6.208,1,0.000213,0.0,0.0844,0.39,117.127,181975,4
16,6ou443eT6aXOCxcX9Jrnee,spotify:track:6ou443eT6aXOCxcX9Jrnee,0.433,0.91,11,-5.689,1,0.000676,0.00015,0.201,0.716,177.978,152762,4
17,5FMnqUbLGqWi0Y12MCVYSN,spotify:track:5FMnqUbLGqWi0Y12MCVYSN,0.583,0.909,7,-3.525,1,0.00956,0.0,0.114,0.855,75.03,191618,4
18,6pXDM2hIRST00HzhiZ92UD,spotify:track:6pXDM2hIRST00HzhiZ92UD,0.339,0.734,10,-3.746,1,0.00176,0.0,0.41,0.673,98.094,183104,4
19,1QJguXsnk8xBaGNA4ScnRA,spotify:track:1QJguXsnk8xBaGNA4ScnRA,0.465,0.924,1,-3.989,1,2.34e-05,0.000273,0.114,0.457,104.999,193980,4
20,777fBnjDxkxeQCM9pOkTBd,spotify:track:777fBnjDxkxeQCM9pOkTBd,0.443,0.951,7,-4.122,1,0.000164,0.000129,0.0893,0.27,101.986,182569,4
21,3PqSJZ6C0M8Cn7CAJBYaz7,spotify:track:3PqSJZ6C0M8Cn7CAJBYaz7,0.491,0.751,7,-7.674,1,0.111,0.0309,0.0955,0.375,151.973,199267,4
22,6h0YQ6hAfOgpEz32vij8DI,spotify:track:6h0YQ6hAfOgpEz32vij8DI,0.307,0.719,5,-7.534,1,0.0067,0.0805,0.18,0.571,150.044,199200,4
23,3P2qlbWc2nC3h9ixSJTwH8,spotify:track:3P2qlbWc2nC3h9ixSJTwH8,0.601,0.955,5,-3.17,1,0.00662,0.000598,0.0979,0.584,155.177,137345,4
