,track_id,track_uri,track_name,artist_uri,artist_name,track_popularity
0,7fnlGpqyZ8KPATE5HXHrke,spotify:track:7fnlGpqyZ8KPATE5HXHrke,Tu nombre es una puerta por cerrar,spotify:artist:1PpnPBZxWGm65wR6oS5Phy,Parquesvr,26
1,7LWvckYxoIoPb1QW6OnrEb,spotify:track:7LWvckYxoIoPb1QW6OnrEb,Vino el Amor,spotify:artist:2f1pksYZS7c56itOgksEeE,Venturi,23
2,5NvqDMHAL38UTfNQFizEWm,spotify:track:5NvqDMHAL38UTfNQFizEWm,Adelante,spotify:artist:5Ed1kJRHN0Uj0BhGbRNutV,levitants,18
3,1pAYBMrUtPnCBexIsA7yag,spotify:track:1pAYBMrUtPnCBexIsA7yag,Danza de la muerte,spotify:artist:2zfICaZaVlooSb1GFh6ZiP,LA MILAGROSA,28
4,0vF9TaEJHO0Zm1ejF7AGC0,spotify:track:0vF9TaEJHO0Zm1ejF7AGC0,Yo pensaba que me había tocado Dios,spotify:artist:1jRwxa8eTgXDOhOlbRFFFy,Barry B,55
5,3Idd0RLLacT6ZRcM4Aj0KP,spotify:track:3Idd0RLLacT6ZRcM4Aj0KP,Deconstrucción,spotify:artist:2nQcWlLWvXPTX34Ysqr2A2,Havalina,14
6,6FUFVQrn1RvyydcLsL4xdJ,spotify:track:6FUFVQrn1RvyydcLsL4xdJ,Hamburguesas,spotify:artist:2BVE7Pqd8kxv9xEsuvoJoE,Carolina Durante,45
7,1LGZYAqFUZli9lE8ZkAGvp,spotify:track:1LGZYAqFUZli9lE8ZkAGvp,Si Piensas en Mí,spotify:artist:5vnfKgHNYLnKeuFA6c2jJO,Mujeres,16
8,61qYmqAXyKU0wjgIwxOMUL,spotify:track:61qYmqAXyKU0wjgIwxOMUL,Mi fábrica de baile Rock,spotify:artist:34SgyDEDqVlahIQRDttgCn,Joe Crepúsculo,24
9,2Czaw41IWZLz5JxwLueamL,spotify:track:2Czaw41IWZLz5JxwLueamL,La Torre Picasso,spotify:artist:2Wwiu1wnq1W8AMYbWuRFDH,Arde Bogotá,63
10,5OC8qeRYNbU03Qnthifu0n,spotify:track:5OC8qeRYNbU03Qnthifu0n,arghHhh!,spotify:artist:1DiDa1DfTjldKJQeonyP33,shego,47
11,4LQXK92qiThKntANgxd9Yz,spotify:track:4LQXK92qiThKntANgxd9Yz,A la Mierda,spotify:artist:0mk9dVJMJF4fanFzeZo6K1,Aiko el grupo,35
12,5KEZKJjqy5ZTnjgXlUyrAl,spotify:track:5KEZKJjqy5ZTnjgXlUyrAl,Matanza En El Hotel,spotify:artist:5Vv5llyiK1nlME2UNDzPBB,Ultraligera,44
13,54f5xQWeTgoZ9T28xS3no1,spotify:track:54f5xQWeTgoZ9T28xS3no1,Apuntando a tu sien,spotify:artist:5IFjdKpLNCRPCRxdeXlFY9,Mi Capitán,16
14,5SqHFepXDGG1IHvlkhQc8q,spotify:track:5SqHFepXDGG1IHvlkhQc8q,Vampiros,spotify:artist:5bZw7KsPssYA9vjHvHgFVu,Vacaciones Permanentes,18
15,6bwh3lirkVVXAeGDSmAY6q,spotify:track:6bwh3lirkVVXAeGDSmAY6q,Ya Estoy Mayor,spotify:artist:4o7LzHKShbYcK8fAV1hjrg,Kings of the Beach,22
16,6ou443eT6aXOCxcX9Jrnee,spotify:track:6ou443eT6aXOCxcX9Jrnee,La Vida Cañón,spotify:artist:7raVfIwIqNjj5OGBbBQNDR,Alcalá Norte,49
17,5FMnqUbLGqWi0Y12MCVYSN,spotify:track:5FMnqUbLGqWi0Y12MCVYSN,Al Amanecer,spotify:artist:3aqVNqgYvDz8VF5n6nJBDD,Jordana B.,30
18,6pXDM2hIRST00HzhiZ92UD,spotify:track:6pXDM2hIRST00HzhiZ92UD,Cruz y Sed,spotify:artist:5XHVcSAgMdrDfxw4WwsZB0,Los Acebos,20
19,1QJguXsnk8xBaGNA4ScnRA,spotify:track:1QJguXsnk8xBaGNA4ScnRA,Mercerías las justas,spotify:artist:5ahvDss0AH60cd2AWqoU1r,Las Petunias,22
20,777fBnjDxkxeQCM9pOkTBd,spotify:track:777fBnjDxkxeQCM9pOkTBd,Mañana No Existe,spotify:artist:2FN1YrHU65dhPZKl3GD7Vd,Sexy Zebras,44
21,3PqSJZ6C0M8Cn7CAJBYaz7,spotify:track:3PqSJZ6C0M8Cn7CAJBYaz7,Pronto,spotify:artist:15o4xwiKZWJ6jOFp9LeP24,Repion,28
22,6h0YQ6hAfOgpEz32vij8DI,spotify:track:6h0YQ6hAfOgpEz32vij8DI,Espíritu Olímpico,spotify:artist:09un4iSHi0vAwjGBwvWiDm,Cora Yako,34
23,3P2qlbWc2nC3h9ixSJTwH8,spotify:track:3P2qlbWc2nC3h9ixSJTwH8,Mírame,spotify:artist:0A6HXmQiEaRB5bY5S4Fbtc,Amor Líquido,18
24,0I8lFIqizsT49Az0ShbeFp,spotify:track:0I8lFIqizsT49Az0ShbeFp,Loros,spotify:artist:3uQgL10Dx1pMNIDfUiv8HW,Camellos,30
25,0wxl1J7P9LqVDsNJKjFMvv,spotify:track:0wxl1J7P9LqVDsNJKjFMvv,Madrid Nos Pertenece,spotify:artist:0MoEyI2ULO3fCBwXhClTTn,Biznaga,18
26,5Osj9yoWtOyfqruJeViFmG,spotify:track:5Osj9yoWtOyfqruJeViFmG,Libertad,spotify:artist:3Jyx7BnfcTeK52GYGoI3BP,Corizonas,15
27,0XYCice34pKdrfOPSByAaw,spotify:track:0XYCice34pKdrfOPSByAaw,En Forma,spotify:artist:4piFCokRN13muTud5Y2lhz,Hinds,29
28,5aOMpTOHYx1omSlIATG1XO,spotify:track:5aOMpTOHYx1omSlIATG1XO,La Persiana,spotify:artist:5MJEbh71qd0GTKQdKko3TT,Apartamentos Acapulco,16
29,2spHoHAGAQlOI3twB5QRVl,spotify:track:2spHoHAGAQlOI3twB5QRVl,Todo Irá Bien,spotify:artist:35lpWLoew70fDB1QQ7pW4I,Victorias,19
30,0HCDbkncaw8CJ4ZGXDGKX7,spotify:track:0HCDbkncaw8CJ4ZGXDGKX7,Mi vecino,spotify:artist:2up9boIYhnzyJMXtrHRc7Q,Cumpleaños Un Martes,15
31,6Y1Y3z4Uwv2oTzpEbA0q4j,spotify:track:6Y1Y3z4Uwv2oTzpEbA0q4j,El Campeón en tus ojos,spotify:artist:3lldEYxABJZKVPL9NRWcq3,Caballo Prieto Azabache,20
32,4cPz8i8j1fPJiYxu5hEzi5,spotify:track:4cPz8i8j1fPJiYxu5hEzi5,Otro año más,spotify:artist:4q9S9g5IA3WQtjeNa11obo,Impacto Vudu,13
33,0Q5Bikc6bp4mcm9PFcOZNb,spotify:track:0Q5Bikc6bp4mcm9PFcOZNb,¿Quién Quiere Más?,spotify:artist:6SShgjYwZQZ8Nx2wo5IKdd,Karavana,30
34,7y96YbNfiol51Ge5V9xGbw,spotify:track:7y96YbNfiol51Ge5V9xGbw,Maldito,spotify:artist:34UH1BNxUlj7CjvivyS5Ev,The Parrots,30
35,6opK17p2ZFqidUkLqlsCl4,spotify:track:6opK17p2ZFqidUkLqlsCl4,Patrón de las causas imposibles,spotify:artist:6u6tjnHJ5CGecNVi2Wfwx9,María Jesús Y Su Hijo,18
36,2jjAJCfs1xunbvekOZRSOI,spotify:track:2jjAJCfs1xunbvekOZRSOI,Un viento de amnesia,spotify:artist:7cXnpdXUUN67Vr3niD2dAi,Vermú,1
37,365MK5X3FgXaW7IWmNzNV5,spotify:track:365MK5X3FgXaW7IWmNzNV5,La edad que tengo,spotify:artist:6poevqCIGOy8886WKNTHkv,La Paloma,38
38,5ElpzPBKW5doywqLRbPh7O,spotify:track:5ElpzPBKW5doywqLRbPh7O,Jim Jones - Apareció el M,spotify:artist:3r32x2k0DngV8Ef8AELQzf,Tigre y Diamante,14
39,0EdGdYvp8HaQOVoacOQnMS,spotify:track:0EdGdYvp8HaQOVoacOQnMS,¡Viva!,spotify:artist:1jr0mAgIhKtTeKTZwk0HjF,Los Punsetes,41
40,0DofQePTXespQrIKQfLXuc,spotify:track:0DofQePTXespQrIKQfLXuc,Los Muertos,spotify:artist:42qSwWCF0ZJBVKtpuG1XlJ,Sugarcrush,18
41,1wjRd9NhFtwSfGRaH4VFBB,spotify:track:1wjRd9NhFtwSfGRaH4VFBB,Lo de siempre,spotify:artist:73Xp0FH6ZuSdhEcq5kcXbE,Go Cactus,12
42,5IUDQPpcD9MGMQDRDb2Fvw,spotify:track:5IUDQPpcD9MGMQDRDb2Fvw,Al Final,spotify:artist:5INts4xs8Jf1Rpnkd6Zd2Y,Muro María,17
43,1ow2OEydv1F9ljW62daTH5,spotify:track:1ow2OEydv1F9ljW62daTH5,Parkour,spotify:artist:0FDO0siwgVeDs40rqwS2mK,Kokoshca,18
44,2MA3xS8Jeyg4TRqTESwEwp,spotify:track:2MA3xS8Jeyg4TRqTESwEwp,Romance Extremo,spotify:artist:6RXmHX7FgxZz6ycoC6IgPy,Casero,27
45,5qa2qTNUc9CZdL1APiLRaH,spotify:track:5qa2qTNUc9CZdL1APiLRaH,Decidí Desaparecer,spotify:artist:0bvq2O2MrIINNOJTVuqQ32,Lisasinson,27
46,6q9RCwnXBS98HEzp33DqbY,spotify:track:6q9RCwnXBS98HEzp33DqbY,"RÁPIDO, RÁPIDO, RÁPIDO!",spotify:artist:1EVcueF5J7XTuYH0nTGJsB,Nadie Patín,33
47,06BKn2S0alWLPcLHH0pkOe,spotify:track:06BKn2S0alWLPcLHH0pkOe,p0pper,spotify:artist:6JcoLHQLRlm12My6cACmlT,Ruïnosa y las Strippers de Rahola,17
48,5sRbPtGGRrkrtJdRU1p6G3,spotify:track:5sRbPtGGRrkrtJdRU1p6G3,Medalla De Oro A La Mejor Canción de Amor,spotify:artist:7J8Jvh09QTtKZYnvChiHsp,Erin Memento,23
49,2q6kjZSeB3P9mmV3W4lOlY,spotify:track:2q6kjZSeB3P9mmV3W4lOlY,Travieso,spotify:artist:7wItEsGHPEaFKnb1iJhbmW,Niña Polaca,28
50,1QdV4SR8PhomxtxKcwJ57P,spotify:track:1QdV4SR8PhomxtxKcwJ57P,Plan de Mierda,spotify:artist:0sISeGVb8SMEQGbI9DBfov,LA ÉLITE,25
51,7q7SE54ZYLdfBvWDtaqAVL,spotify:track:7q7SE54ZYLdfBvWDtaqAVL,QUÉ CRUEL,spotify:artist:5wuBA4TiRM0CNjSXjsutn6,León Benavente,39
52,1ScPq9lDin5UfkJnbOd0M4,spotify:track:1ScPq9lDin5UfkJnbOd0M4,Sin Más,spotify:artist:6SNJAvWSF0KZJbt3T162RH,Joven Dolores,19
53,4SgXWK4j9rKd1gVk1Ul0WY,spotify:track:4SgXWK4j9rKd1gVk1Ul0WY,La matanza de Texas,spotify:artist:2pMVWkucVS130nJx59uAEa,Sidonie,35
54,1gVe7hDguYKZyeUjdyuOsK,spotify:track:1gVe7hDguYKZyeUjdyuOsK,Echo de menos a los Arctic Monkeys,spotify:artist:6q67yxb78jnAUnVXrbZBHS,Tenda,32
55,0e8H6wIJ5o7OoSMGH9I2iL,spotify:track:0e8H6wIJ5o7OoSMGH9I2iL,De aquí a un mes,spotify:artist:0t8pleD8cLadWZNfaGQIz1,Error 97,25
56,5hBJWe70D97dTK6EDdS9sP,spotify:track:5hBJWe70D97dTK6EDdS9sP,Todo por el Aire,spotify:artist:0qRG7TxJLvi9WsaaShnhSP,Corazones Eléctricos,22
57,4apfAbVAi8AtDgc77naDNq,spotify:track:4apfAbVAi8AtDgc77naDNq,Quiero Saber,spotify:artist:23NCVrnE5VJqesZBazalWN,Vicente Calderón,23
58,0Aotvy8CxQXOc8FlXEoPBt,spotify:track:0Aotvy8CxQXOc8FlXEoPBt,Perdiendo el tiempo,spotify:artist:5jTPdO06h2aTkDtHCYMAIm,Las Dianas,25
59,1v9VKI3Xikbei4lyaqzSGA,spotify:track:1v9VKI3Xikbei4lyaqzSGA,Paga y Señal,spotify:artist:42g6k1iU30Z2lDl0E2oKZR,Vecinos,18
60,0wqtlNXoCnQLD8xTCJCJf1,spotify:track:0wqtlNXoCnQLD8xTCJCJf1,Intemperie,spotify:artist:6NZGyfzzigXWOI1HvNxwhR,Noche,19
61,40O5fHVDXbesbgnNOyJdy7,spotify:track:40O5fHVDXbesbgnNOyJdy7,Rob Gordon,spotify:artist:5SqIWRE4qf5c0FmmePSGiU,Becarios,21
62,6VsaC41vcwH8AczuZZZERO,spotify:track:6VsaC41vcwH8AczuZZZERO,Calle Plata,spotify:artist:3FDCL5TTPpKM5liVuuU0f3,PELIGRO!,23
63,1aDeaDooAd79p2sdImGG4a,spotify:track:1aDeaDooAd79p2sdImGG4a,Dulce introducción al caos,spotify:artist:3bgsNtcf5d5h9jbQbohfBK,Extremoduro,56
